Timestamp,PPI
658.4237582,790
659.4245447,830
660.4251645,795
661.426201,804
662.4262764,776
663.4268278,778
664.4273833,820
665.4278611,767
666.4284298,781
667.4288039,807
668.4294626,790
669.4299582,770
670.430917,823
671.4311976,783
672.4317851,844
673.4327439,751
674.4332156,821
675.4339116,786
676.4360219,783
677.4376301,818
678.4383677,788
679.439752,850
680.4411277,845
681.4422654,810
682.4436142,752
683.444008,791
684.4448535,824
685.4460125,784
686.4467058,755
687.4476239,815
688.4486861,825
689.4492928,808
690.450016,795
691.4511803,793
692.453239,848
693.4535906,768
694.4541126,817
695.4555334,811
696.4568992,780
697.4579328,757
698.458876,755
699.4596953,833
700.4610728,759
701.4617174,788
702.4627796,841
703.4634273,816
704.4640697,772
705.4648314,794
706.4657609,814
707.4664488,819
708.4672734,826
709.4681351,754
710.4690262,815
711.4716439,763
712.4726968,752
713.4739779,827
714.4752316,811
715.4759941,821
716.4777889,829
717.4784185,752
718.4804058,776
719.4812229,771
720.4821378,773
721.482892,827
722.4834922,779
723.4844478,802
724.4854292,763
725.4865059,775
726.4875792,798
727.4881698,769
728.4889727,773
729.4896652,775
730.4903968,808
731.4913572,764
732.4923968,824
733.4931437,751
734.4941511,766
735.4945897,770
736.4949171,803
737.4956789,808
738.496131,840
739.4968343,786
740.4975704,831
741.498423,825
742.4989831,767
743.4997859,787
744.5007837,762
745.5018766,780
746.5027511,754
747.5033532,793
748.5041426,758
749.5048965,821
750.5057643,791
751.5067723,848
752.5075754,795
753.5083561,769
754.5090186,842
755.509716,850
756.5104762,840
757.5113756,798
758.5119368,809
759.5124511,758
760.5133282,800
761.5138276,762
762.5143179,760
763.5155045,805
764.5166596,814
765.5175122,783
766.51832,751
767.5189835,815
768.5196472,836
769.520816,784
770.5217085,772
771.522422,803
772.5234738,761
773.524788,755
774.5256232,765
775.5265053,826
776.5271872,829
777.5277385,786
778.5284151,767
779.5291246,809
780.5296811,816
781.5302059,777
782.5306581,798
783.5313246,752
784.5319381,752
785.5326066,814
786.5332025,767
787.5339916,835
788.5346515,805
789.53564,837
790.5366132,762
791.5376321,815
792.5382439,840
793.5387163,772
794.5395357,755
795.5403774,815
796.5412072,823
797.5416931,825
798.542507,791
799.54327,756
800.5441931,811
801.5453507,816
802.5462245,825
803.5470499,785
804.5478977,835
805.5483884,762
806.5490906,797
807.5494695,782
808.5500783,812
809.5512081,775
810.552419,845
811.5531763,828
812.5539944,773
813.5547614,846
814.5560097,809
815.5567909,785
816.5577008,848
817.5581382,817
818.5589579,750
819.5599102,800
820.5606271,776
821.561413,790
822.5622968,808
823.562863,759
824.5632791,778
825.5637035,752
826.5645789,819
827.5653925,844
828.5660703,774
829.566445,821
830.5672124,761
831.5683369,777
832.5692104,800
833.5712594,817
834.5725024,845
835.5736819,795
836.5753252,773
837.5774504,814
838.5782155,835
839.5794923,806
840.5805721,756
841.5816005,820
842.5821397,764
843.5827726,754
844.58462,766
845.5850517,764
846.5859174,769
847.5866186,841
848.5874849,757
849.5883516,836
850.5887711,770
851.5895669,782
852.590287,826
853.591129,791
854.5916725,825
855.5924985,784
856.5932698,826
857.5940849,750
858.5948766,844
859.5954429,823
860.5961686,758
861.5964927,786
862.5970927,814
863.5977748,794
864.598992,817
865.600078,811
866.6013758,845
867.6030752,805
868.60407,753
869.6049011,829
870.6060728,817
871.6069044,780
872.6078203,835
873.6083282,823
874.6089772,795
875.6101614,798
876.6109861,774
877.611918,836
878.6130258,850
879.6141208,753
880.6151045,797
881.6156775,797
882.6168049,835
883.6175892,811
884.6182,802
885.6188792,784
886.6194914,752
887.6200886,750
888.6209194,799
889.6219152,760
890.6222865,821
891.6232582,786
892.6246603,818
893.6264175,771
894.627673,818
895.6286576,807
896.6302512,810
897.63161,841
898.6332667,837
899.6341787,761
900.6361493,801
901.6377006,850
902.6385876,770
903.6406194,844
904.6412287,817
905.6434768,820
906.6444093,801
907.6459555,783
908.6474345,763
909.6484473,768
910.6494199,814
911.6507412,802
912.6511126,765
913.6519571,824
914.6527751,801
915.6534941,813
916.6542901,836
917.6549829,757
918.6554344,812
919.6559121,767
920.6563975,828
921.6572267,848
922.6579354,754
923.658372,781
924.658797,772
925.6593106,794
926.6598093,790
927.6605273,834
928.6614106,837
929.6628318,823
930.6642089,798
931.6654223,755
932.6670378,817
933.6693358,830
934.6707511,781
935.6717869,832
936.6727332,821
937.6743107,775
938.6757345,826
939.6780929,811
940.6793214,826
941.6807614,810
942.682748,781
943.6844158,846
944.6857563,759
945.687095,783
946.6887823,777
947.689319,801
948.6903439,830
949.6923981,754
950.6934309,849
951.6947005,797
952.6953581,801
953.6961461,764
954.6967947,763
955.6980905,831
