Timestamp,PPI
57139.4660469,818
57140.466633,848
57141.4670599,813
57142.467339,756
57143.4679282,823
57144.4683466,784
57145.4695579,833
57146.4707969,816
57147.4713369,771
57148.4722879,814
57149.4731331,753
57150.4755051,835
57151.4765501,751
57152.4774264,811
57153.4784099,835
57154.4793452,784
57155.4803883,784
57156.4812693,834
57157.4821165,843
57158.482563,798
57159.4831203,805
57160.4839631,784
57161.4848268,808
57162.4857175,794
57163.4866912,818
57164.4873973,794
57165.4884148,795
57166.4891112,817
57167.4900009,752
57168.4907203,849
57169.4917231,798
57170.4924334,752
57171.4928821,848
57172.4938129,782
57173.495233,772
57174.4962463,805
57175.4971276,799
57176.4979366,758
57177.4988377,759
57178.5000148,836
57179.5009775,773
57180.5018589,821
57181.5025583,792
57182.5033898,838
57183.5042488,778
57184.5052007,827
57185.5061971,846
57186.5073009,772
57187.5087451,768
57188.5097347,785
57189.5107009,754
57190.5118855,789
57191.5129669,786
57192.5135869,809
57193.5145383,814
57194.5157303,774
57195.5167035,844
57196.5172962,845
57197.5182164,824
57198.5193266,786
57199.5203942,762
57200.5213236,848
57201.5221657,822
57202.5227984,759
57203.5234014,840
57204.5243728,823
57205.5248936,781
57206.5261589,833
57207.5270495,838
57208.528078,844
57209.5290143,840
57210.5294573,759
57211.530528,775
57212.5315685,756
57213.5323817,827
57214.5335593,798
57215.534563,840
57216.535821,831
57217.5370153,761
57218.5380036,809
57219.5389394,765
57220.5398044,780
57221.5404041,841
57222.5416846,800
57223.5426129,765
57224.5436176,837
57225.5446141,783
57226.5451636,784
57227.5458516,839
57228.5468715,765
57229.5481721,767
57230.5488894,821
57231.5497622,800
57232.5501967,817
57233.551713,763
57234.5527283,821
57235.5541392,794
57236.5551405,777
57237.556245,814
57238.5571532,826
57239.5580782,771
57240.5591477,779
57241.559966,850
57242.5605578,799
57243.5613668,804
57244.5622869,773
57245.5632086,846
57246.5642381,759
57247.565228,837
57248.5661111,836
57249.5669975,771
57250.5679287,832
57251.5688526,840
57252.5700951,844
57253.5710338,829
57254.571872,787
57255.5726779,797
57256.5734522,847
57257.5739688,818
57258.5749544,804
57259.5757492,820
57260.5763269,817
57261.5770458,812
57262.5779627,801
57263.5792364,814
57264.5801595,788
57265.5811755,837
57266.5817353,781
57267.5831022,757
57268.5846858,762
57269.5859163,837
57270.5869562,847
57271.5873866,805
57272.5884637,790
57273.5895204,761
57274.5906402,838
57275.5917866,835
57276.5926245,811
57277.5937146,756
57278.5945749,780
57279.5955379,790
57280.5963355,811
57281.5976467,805
57282.5985196,822
57283.5992642,806
57284.6001977,755
57285.601191,791
57286.6018908,765
57287.6030051,779
57288.6039335,828
57289.6049278,790
57290.6055834,850
57291.6059781,810
57292.6075079,772
57293.6085433,846
57294.6095384,849
57295.6105786,765
57296.6112328,787
57297.6119548,750
57298.6129915,770
57299.6137029,840
57300.6146597,790
57301.6152136,751
57302.6160069,841
57303.6168764,825
57304.6179639,844
57305.6186382,846
57306.619698,835
57307.6206634,809
57308.6215631,818
57309.6222863,818
57310.6230635,802
57311.6238426,803
57312.6248106,821
57313.6252572,837
57314.6261811,773
57315.6268634,792
57316.6273741,811
57317.6281907,765
57318.6286887,755
57319.6294166,768
57320.6312932,821
57321.6318456,803
57322.6328154,769
57323.6333268,779
57324.6340131,755
57325.6351289,784
57326.6361972,750
57327.6373626,790
57328.6384079,754
57329.639251,805
57330.6401463,813
57331.641656,757
57332.6422629,849
57333.6432237,802
57334.6444561,766
57335.6450261,783
57336.6462816,809
57337.6470941,802
57338.6479348,773
57339.648911,809
57340.6500691,811
57341.6504278,790
57342.6513682,751
57343.6525674,830
57344.6533729,764
57345.6544488,790
57346.6554498,848
57347.6563417,763
57348.6574255,778
57349.658785,816
57350.6598791,782
57351.6606841,805
57352.6617408,774
57353.6623236,822
57354.6633192,822
57355.6638132,818
57356.6645243,848
57361.096318,832
57362.101367,808
57363.1019157,787
57364.1029163,756
57365.1036201,796
57366.1044513,777
57367.1054897,804
57368.1065979,821
57369.1075644,845
57370.2132219,806
57371.2253926,766
57372.226141,784
57373.2271652,780
